Provinsi,Jumlah
Aceh,206
Bali,465
Banten,240
Bengkulu,321
Gorontalo,795
Jakarta,930
Jambi,591
Jawa Barat,50
Jawa Tengah,861
Jawa Timur,273
Kalimantan Barat,684
Kalimantan Selatan,405
Kalimantan Tengah,528
Kalimantan Timur,529
Kalimantan Utara,672
Kepulauan Bangka Belitung,349
Kepulauan Riau,931
Lampung,720
Maluku,171
Maluku Utara,935
Nusa Tenggara Barat,187
Nusa Tenggara Timur,286
Papua,569
Papua Barat,94
Riau,180
Sulawesi Barat,873
Sulawesi Tengah,883
Sulawesi Tenggara,777
Sulawesi Utara,409
Sumatera Barat,585
Sumatera Selatan,419
Sumatera Utara,989
Yogyakarta,307
